Games: 3149, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46231, Epsilon: 0.009
Games: 3150, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46242, Epsilon: 0.009
Games: 3151, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46251, Epsilon: 0.009
Games: 3152, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46261, Epsilon: 0.009
Games: 3153, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46273, Epsilon: 0.009
Games: 3154, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46283, Epsilon: 0.009
Games: 3155, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46292, Epsilon: 0.009
Games: 3156, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46304, Epsilon: 0.009
Games: 3157, AI: 13, Random: 1, Percentage: 93, Reward: 14, Steps: 46318, Epsilon: 0.009
Games: 3158, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46329, Epsilon: 0.009
Games: 3159, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46342, Epsilon: 0.009
Games: 3160, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46352, Epsilon: 0.009
Games: 3161, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46364, Epsilon: 0.009
Games: 3162, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46374, Epsilon: 0.009
Games: 3163, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46385, Epsilon: 0.009
Games: 3164, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46395, Epsilon: 0.009
Games: 3165, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46408, Epsilon: 0.009
Games: 3166, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46418, Epsilon: 0.009
Games: 3167, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46429, Epsilon: 0.009
Games: 3168, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46439, Epsilon: 0.009
Games: 3169, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46448, Epsilon: 0.009
Games: 3170, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46459, Epsilon: 0.009
Games: 3171, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46468, Epsilon: 0.009
Games: 3172, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46481, Epsilon: 0.009
Games: 3173, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46490, Epsilon: 0.009
Games: 3174, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46500, Epsilon: 0.009
Games: 3175, AI: 14, Random: 0, Percentage: 100, Reward: 14, Steps: 46514, Epsilon: 0.009
Games: 3176, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46523, Epsilon: 0.009
Games: 3177, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46535, Epsilon: 0.009
Games: 3178, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46546, Epsilon: 0.009
Games: 3179, AI: 10, Random: 2, Percentage: 83, Reward: 12, Steps: 46558, Epsilon: 0.009
Games: 3180, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46568, Epsilon: 0.009
Games: 3181, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46580, Epsilon: 0.009
